company_name,cin,other_name,other_cin
JUST DIAL LIMITED,L74140MH1993PLC150054,A & M COMMUNICATIONS PRIVATE LIMITED;JUST DIAL PRIVATE LIMITED,
A. A. FILMS PRIVATE LIMITED,U92100MH2008PTC180322,A A FILMS DISTRIBUTORS PRIVATE LIMITED;INMEDIA 7 ENTERTAINMENT PRIVATE LIMITED;INMEDIA 7 ENTERTAINMENTS PRIVATE LIMITED,
MUTHOOT HOTELS PRIVATE LIMITED,U55101KL1997PTC022576,A AND N HOTEL ENTERPRISES PRIVATE LIMITED,
PACIFIC MAINTENANCE SERVICES PRIVATE LIMITED,U70100DL2004PTC130486,A AND N MAINTENANCE PRIVATE LIMITED;PACIFIC MAINTENANCE SERVICES PRIVATELIMITED,U45201DL2004PTC130486
ABC CONSULTANTS PVT LTD,U65110WB1973PTC028870,A B C CONSULTANTS PVT LTD,
A B INFRABUILD LIMITED,L45202MH2011PLC214834,A B INFRABUILD PRIVATE LIMITED,U45202MH2011PLC214834;U45202MH2011PTC214834
A B MOTIONS PRIVATE LIMITED,U92111PB2001PTC024560,A B MOTIONS PRIV LIMITED,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,U67120RJ2006PTC022349,A C AGARWAL AND SONS SHARES AND STOCKS PRIVATE LIM ITED;A C AGARWAL SHARE BROKERS PRIVATELIMITED,
A. C. SURGIPHARMA PRIVATE LIMITED,U51397DL1993PTC052682,A C SURGIGPHARMA PRIVATE LIMITED,
A G FATS PRIVATE LIMITED,U01111PB1992PTC012745,A G FATS LIMITED;A G FATS PRIV LIMITED;A G FATS Private Limited,U01111PB1992PLC012745
RAMA KRISHNA JEWELLERS PRIVATE LIMITED,U52100DL2007PTC171434,A G INFOTECH PRIVATED LIMITED,
SAHYADRI STRUCTWEL PRIVATE LIMITED,U70100MH1995PTC090063,A G MERCANTILE PRIVATE LIMITED;VIDHATA MERCANTILE PRIVATE LIMITED,U51900MH1995PTC090063
A HARTRODT (INDIA) PRIVATE LIMITED,U63090HR2006PTC047146,A HARTRODT INDIA PRIVATE LIMITED,
KANORIA ENERGY & INFRASTRUCTURE LIMITED,L25191RJ1980PLC002077,A INFRASTRUCTURE LIMITED;SHREE PIPES LTD,
AJS IMPEX PRIVATE LIMITED,U74900MH2006PTC161680,A JAYDEV STEEL PRIVATE LIMITED,
SURBHI SATCOM PRIVATE LIMITED,U64200DL1981PTC011965,A K G TUBES PVT LTD,
A K MARKETING PRIVATE LIMITED,U15122DL2014PTC273933,A K Marketing Private Limited,
AKR EXPRESS PRIVATE LIMITED,U60231TZ1998PTC008453,A K R PARCEL SERVICE PRIVATE LIMITED;L.R.N. PARCEL SERVICE PRIVATE LIMITED,
A K SHIVHARE INFRASTRUCTURE PRIVATE LIMITED,U45200MP2011PTC026079,A K SHIVHARE INFRASTRUCTURE PRIVATELIMITED,
SHREEDHAR MILK FOODS LIMITED,U74899DL2005PLC142604,A KUMAR MILK FOODS PRIVATE LIMITED;SHREEDHAR MILK FOODS PRIVATE LIMITED,
