company_name,cin,other_name,other_cin
BSS MICROFINANCE LIMITED,U74899KA1994PLC049746,BSS MICROFINANCE PRIVATE LIMITED;OYSTER CAPITALS PVT LTD.,U74899KA1994PTC049746
BST ELTROMAT INDIA PRIVATE LIMITED,U74999MH1993PTC070303,BST eltromat India Private Limited;BST SAYONA AUTOMATIONS PRIVATE LIMITED;BST SAYONA WEB CONTROL SYSTEMS PRIVATE LIMITED.,
BT E-SERV (INDIA) PRIVATE LIMITED,U72900DL2007PTC169335,BT e-Serv India Private Limited,
BT GLOBAL BUSINESS SERVICES PRIVATE LIMITED,U74140DL2014PTC268583,BT Global Business Services Private Limited;BT GLOBAL BUSINESS SERVICES PRIVATELIMITED,
BT GLOBAL COMMUNICATIONS INDIA PRIVATE LIMITED,U72900DL1992PTC280617,BT Global Communications India Private Limited;BT GLOBAL COMMUNICATIONS INDIA PRIVATELIMITED;I2I ENTERPRISE LIMITED;I2I ENTERPRISE PRIVATE LIMITED,U72900MH1992PTC154386
BT (INDIA) PRIVATE LIMITED,U74899DL2000PTC109012,BT GLOBAL NETWORKING (INDIA) PRIVATE LIMITED;BT INDIA PRIVATE LIMITED,
BTL INDIA PRIVATE LIMITED,U74999DL2011FTC222977,BTL India Private Limited,
BTM CORP LIMITED,U74899DL2005PLC142024,BTM CORP PRIVATE LIMITED;BTM TEXTILES PRIVATE LIMITED,
BTS STRATEGY ALIGNMENT AND EXECUTION PRIVATE LIMITED,U74140MH2011PTC223296,BTS STRATEGY ALIGNMENT AND EXECUTION PRIVATE LIMTED;BTS STRATEGY ALIGNMENT AND EXECUTIONPRIVATE LIMITED,
BUBBLE CREATIONS DIGITAL STUDIOS PRIVATE LIMITED,U74900PN2012PTC143248,Bubble Creations Digital Studios Private Limited,
INDOSPIRIT BEVERAGES PRIVATE LIMITED,U15100DL2014PTC263174,BUBBLY WINES PRIVATE LIMITED,U51220DL2014PTC263174
BUBUGAO COMMUNICATION PRIVATE LIMITED,U32309RJ2014PTC046272,Bubugao Communication Private Limited,
BUCHER HYDRAULICS PRIVATE LIMITED,U51103HR2000PTC038780,Bucher Hydraulics Private Limited;STERLING FLUID TECHNOLOGIES PRIVATE LIMITED,
BUCHI OPERATIONS INDIA PRIVATE LIMITED,U33110GJ2011FTC065091,Buchi Operations India Private Limited,
BUCKMAN LABORATORIES (INDIA) PRIVATE LIMITED,U24119TN2005PTC056486,BUCKMAN LABORATORIES (INDIA) PRIVATELIMITED;BUCKMAN LABORATORIES INDIA PRIVATE LIMITED,
BUCON ENGINEERS & INFRASTRUCTURE PRIVATE LIMITED,U74200MH2008PTC185633,Bucon Engineers  Infrastructure Private Limited,
DIGITAL SUBSCRIBER MANAGEMENT AND CONSULTANCY SERVICES PRIVATE LIMITED,U72300MH1993PTC074967,BUDDHA FILMS LIMITED;BUDDHA FILMS PRIVATE LIMITED;DIGITAL SUBSCRIBER MANAGEMENT AND CONSULTANCY SERV ICES PRIVATE LIMITED;DIGITAL SUBSCRIBER MANAGEMENT ANDCONSULTANCY SERVICES PRIVATE LIMITED,
BUDGE BUDGE COMPANY LTD,L26941WB1973PLC028796,BUDGE BUDGE CO LTD,
BUDHINATH ADVISORY SERVICES PRIVATE LIMITED,U74110MH2006PTC166006,BUDHINATH ADVISORY SERVICES PRIVATELIMITED;MONEY MATTERS INFRASTRUCTURES PRIVATE LIMITED;MONEY MATTERS INFRASTRUCTURES PRIVATELIMITED,U45201MH2006PTC166006
BUFAB INDIA FASTENERS PRIVATE LIMITED,U29299PN2008PTC131481,Bufab India Fasteners Private Limited,
BUHARI HOTELS & MOTELS PRIVATE LIMITED,U55101TN1970PTC005849,BUHARI HOTELS  MOTELS PRIVATE LIMITED,
BUHARI HOLDINGS PRIVATE LIMITED,U45201TN1989PTC017001,BUHARIA HOLDINGS PVT LTD,
BUHLER (INDIA) PRIVATE LIMITED,U85110KA1991PTC011695,BUHLER INDIA PRIVATE LIMITED,
BUILDING BLOCKS PROJECTS INDIA PRIVATE LIMITED,U70102TG2008PTC061980,BUILDING BLOCKS PROJECTS INDIA PRIVATELIMITED;MAGIK HOMES INDIA PRIVATE LIMITED,U70102AP2008PTC061980
BUILDING BLOCKS REALTY INDIA PRIVATE LIMITED,U70100TG2015PTC099221,BUILDING BLOCKS REALTY INDIA PRIVATELIMITED,
BNA TECHNOLOGY CONSULTING LIMITED,U85110KA1989PLC009756,BUILDING NETWORK AUTOMATION PVT LTD,
BUILDING TECHNOLOGIES INDIA PRIVATE LIMITED,U45200MH1999PTC120608,BUILDING TECHNOLGIES INDIA PRIVATE LIMITED;BUILDING TECHNOLGIES INDIA PRIVATELIMITED;BUILDING TECHNOLOGIES INDIA PRIVATELIMITED,
BULAND CONSULTANTS AND INVESTMENTS PRIVATE LIMITED,U51109GJ1972PTC097032,BULAND CONSULTANTS AND INVESTMENTSPRIVATE LIMITED,U51109DL1972PTC225204
BULB CHAMKA ENTERTAINMENT AND MEDIA PRIVATE LIMITED,U93000MH2015PTC268017,BULB CHAMKA ENTERTAINMENT AND MEDIAPRIVATE LIMITED;MEDIA MONKS ENTERTAINMENT PRIVATE LIMITED;MEDIA MONKS ENTERTAINMENT PRIVATELIMITED,
BULK CEMENT CORPORATION (INDIA) LIMITED,U99999MH1992PLC066679,BULK CEMENT CORPORATION INDIA LIMITED,
BULL FORGE PRIVATE LIMITED,U34300PB2012PTC036198,BULL FORGE PRIV LIMITED,
BULLET LOGISTICS INDIA PRIVATE LIMITED,U63090TN2009PTC086216,Bullet Logistics India Private Limited,
BUMI HIWAY (INDIA) PRIVATE LIMITED,U45100DL2001PTC109937,BUMI HIWAY INDIA PRIVATE LIMITED,U65991DL2001PTC109937
BUNGE INDIA TRADING PRIVATE LIMITED,U51101MH2015FTC269884,Bunge India Trading Private Limited,
BUNNY INVESTMENTS AND FINANCE PRIVATE LIMITED,U65993TG1995PTC019426,BUNNY INVESTMENTS AND FINANCE PRIVATELIMITED,U65993AP1995PTC019426
LUMATA DIGITAL INDIA PRIVATE LIMITED,U74900HR2009FTC039730,BUONGIORNO DIGITAL INNOVATION INDIA PRIVATE LIMITED,
BUOYANT TECHNOLOGY CONSTELLATIONS PRIVATE LIMITED,U45201KA2007PTC043436,BUOYANT TECHNOLOGY CONSTELLATIONSPRIVATE LIMITED;MANTRI TECHNOLOGY CONSTELLATIONS PRIVATE LIMITED,
BURCKHARDT COMPRESSION (INDIA) PRIVATE LIMITED,U29120PN2004PTC019442,BURCKHARDT COMPRESSION (INDIA) PRIVATELIMITED;BURCKHARDT COMPRESSION INDIA PRIVATE LIMITED,
BUREAU VERITAS CERTIFICATION (INDIA) PRIVATE LIMITED,U74999MH2002PTC138108,BUREAU VERITAS CERTIFICATION (INDIA) PRIVATE LIMTED;BUREAU VERITAS CERTIFICATION (INDIA)PRIVATE LIMITED;BUREAU VERITAS CERTIFICATION INDIA PRIVATE LIMITED;BVQI (INDIA ) PRIVATE LIMITED,
BUREAU VERITAS (INDIA) PRIVATE LIMITED,U74210MH2001PTC134262,BUREAU VERITAS CONSULTING (INDIA) PRIVATE LIMITED;BUREAU VERITAS INDIA PRIVATE LIMITED,
BUREAU VERITAS CONSUMER PRODUCTS SERVICES (INDIA) PRIVATE LIMITED,U74900DL1996PTC079646,BUREAU VERITAS CONSUMER PRODUCTS SERVICES INDIA PRIVATE LIMITED;BUREAU VERITAS CONSUMER PRODUCTSSERVICES (INDIA) PRIVATE LIMITED,
BUREAU VERITAS INDUSTRIAL SERVICES (INDIA) PRIVATE LIMITED,U74999MH1988PTC046117,BUREAU VERITAS INDUSTRIAL SERVICES INDIA PRIVATE LIMITED;BUREAU VERITAS INDUSTRIAL SERVICES(INDIA) PRIVATE LIMITED;INDUSTRIAL AND GENERAL INSPECTION SERVICES PRIVATE LIMITED,
BURKERT INDIA PRIVATE LIMITED,U74210TN2005PTC055704,BURKERT CONTROMATIC PRIVATE LIMITED,
BURLINGTON FINANCE LTD.,L67120WB1981PLC033904,BURLINGTON MARKETING LTD,
BRD RETAIL DISTRIBUTIONS PRIVATE LIMITED,U74999DL2015PTC278285,BURMAN RETAIL DISTRIBUTIONS PRIVATE LIMITED;BURMAN RETAIL DISTRIBUTIONS PRIVATELIMITED,
BURNDY TECHNOLOGY & GLOBAL BUSINESS SERVICES PRIVATE LIMITED,U72200TN2011FTC112348,Burndy Technology  Global Business Services Private Limited;BURNDY TECHNOLOGY & GLOBAL BUSINESS SERVICES PRIVA TE LIMITED;BURNDY TECHNOLOGY & GLOBAL BUSINESSSERVICES PRIVATE LIMITED,U72200KL2011FTC028445
BURNS & MCDONNELL ENGINEERING INDIA PRIVATE LIMITED,U74999MH2012PTC229360,Burns  McDonnell Engineering India Private Limited;BURNS & MCDONNELL ENGINEERING INDIA PRIVATE LIMITE D;BURNS & MCDONNELL ENGINEERING INDIAPRIVATE LIMITED;DABIH CONSULTANTS PRIVATE LIMITED,
AB MAURI INDIA PRIVATE LIMITED,U15419KA1960PTC067196,BURNS PHILP INDIA PRIVATE LIMITED,
BURO HAPPOLD ENGINEERS INDIA PRIVATE LIMITED,U29253MH2008PTC235854,Buro Happold Engineers India Private Limited;BURO HAPPOLD ENGINEERS INDIA PRIVATELIMITED,
TRELLEBORG SEALING SOLUTIONS (INDIA) PRIVATE LIMITED,U29130KA1997PTC022248,BUSAK AND SHAMBAN SEALS (INDIA) PRIVATE LIMITED;TRELLEBORG SEALING SOLUTIONS (INDIA) PRIVATE LIMTED;TRELLEBORG SEALING SOLUTIONS (INDIA)PRIVATE LIMITED;TRELLEBORG SEALING SOLUTIONS INDIA PRIVATE LIMITED,
BUSBAR SYSTEMS (INDIA) LIMITED,U31200KA2009PLC049167,BUSBAR SYSTEMS (INDIA) PRIVATE LIMITED;BUSBAR SYSTEMS INDIA LIMITED,
INTERNATIONAL FLAVOURS & FRAGRANCES INDIA PRIVATE LIMITED,U24294TN1931PTC000112,BUSH BOAKE ALLEN (INDIA) LTD;INTERNATIONAL FLAVOURS  FRAGRANCES INDIA PRIVATE LIMITED;INTERNATIONAL FLAVOURS & FRAGRANCES INDIA LIMITED;INTERNATIONAL FLAVOURS & FRAGRANCESINDIA PRIVATE LIMITED,
KANYAKUMARI SOFTECH PRIVATE LIMITED,U70109KA2002PTC030064,BUSHRA SOFTECH PRIVATE LIMITED,
BPTP LIMITED,U45201HR2003PLC082732,BUSINESS PARK TOWN PLANNERS LIMITED,U45201DL2003PLC121733
BUSINESS STANDARD PRIVATE LIMITED,U00000DL1970PTC100242,BUSINESS STANDARD LIMITED;BUSINESS STANDARD Private Limited,U00000DL1970PLC100242
FEXPRIME FINANCE PRIVATE LIMITED,U67190DL2007FTC162475,BUSSAN AUTO FINANCE INDIA PRIVATE LIMITED;BUSSAN AUTO FINANCE INDIA PRIVATELIMITED,
BUSYBEES LOGISTICS SOLUTIONS PRIVATE LIMITED,U74999PN2015PTC156176,BusyBees Logistics Solutions Private Limited;BUSYBEES LOGISTICS SOLUTIONS PRIVATELIMITED,
BUTTERFLY GANDHIMATHI APPLIANCES LIMITED,L28931TN1986PLC012728,Butterfly Gandhimathi Appliances Limited;GANDHIMATHI APPLIANCES LIMITED,
MORGAN STANLEY INDIA CAPITAL PRIVATE LIMITED,U65990MH1996PTC100190,BUTTERFLY SECURITIES LIMITED;MORGAN STANLEY INDIA CAPITAL LIMITED;Morgan Stanley India Capital Private Limited;MORGAN STANLEY INDIA CAPITAL PRIVATELIMITED,
SJVN THERMAL PRIVATE LIMITED,U31908BR2007PTC017646,BUXAR BIJLEE COMPANY PRIVATE LIMITED;MACHILIPATNAM POWER COMPANY PRIVATE LIMITED;SJVN Thermal Private Limited,
SCHENKER INDIA PRIVATE LIMITED,U63010DL1990FTC042364,BUYRLINGTON AIR EXPRESS INDIA LTD.;Schenker India Private Limited,
BE WELL HOSPITALS PRIVATE LIMITED,U85300TN2011PTC081020,BVL HOSPITALS PRIVATE LIMITED,
BVSR HARDA BETUL ROAD PROJECTS PRIVATE LIMITED,U45400TG2011PTC078289,BVSR HARDA BETUL ROAD PROJECTS PRIVATELIMITED,U45400AP2011PTC078289
BW GLOBAL UNITED LPG INDIA PRIVATE LIMITED,U61200TN2017PTC114140,BW GLOBAL UNITED LPG INDIA PRIVATELIMITED,
BYD INDIA PRIVATE LIMITED,U31909TN2007PTC062621,BYD Electronics India Private Limited,
BYTEDANCE (INDIA) TECHNOLOGY PRIVATE LIMITED,U72900DL2017PTC385117,BYTEDANCE (INDIA) TECHNOLOGY PRIVATELIMITED,U72900MH2017PTC300944
BYWAYS INDIA PRIVATE LIMITED,U74999HR2004PTC093535,BYWAYS KAILASH ASIA LABELS PRIVATE LIMITED,U74999DL2004PTC125057
C B M INDUSTRIE PRIVATE LIMITED,U74899DL1991PTC043726,C B M INDUSTRIE LIMITED,U74899DL1991PLC043726
C B S PUBLISHERS AND DISTRIBUTORS PRIVATE LIMITED,U74899DL1988PTC033711,C B S PUBLISHERS AND DISTRIBUTORSPRIVATE LIMITED,
DELOITTE SHARED SERVICES INDIA PRIVATE LIMITED,U65990MH1979PTC021763,C C C SERVICES COMPANY PRIVATE LIMITED;Deloitte Shared Services India Private Limited;DELOITTE SHARED SERVICES INDIA PRIVATELIMITED,
CARBOLINE (INDIA) PRIVATE LIMITED,U24222TN1986PTC013250,C D C CARBOLINE (INDIA) PRIVATE LIMITED;CARBOLINE INDIA PRIVATE LIMITED,
CFL PHARMACEUTICALS LIMITED,U24246GA1981PLC000465,C F L PHARMACEUTICALS LIMITED;COSME FARMA LABORATORIES LIMITED,
JASUBHAI JEWELLERS PRIVATE LIMITED,U36911GJ2002PTC040976,C G JEWELLERS PRIVATE LIMITED,
CANDOR TEXTILES PRIVATE LIMITED,U51109MP1997PTC011693,C I L TEXTILES PRIVATE LIMITED;DAKSHINESHWARI FABRICS PRIVATE LIMITED,
C J S SPECIALTY CHEMICALS PRIVATE LIMITED,U24110MH2008PTC186710,C J S SPECIALTY CHEMICALS PRIVATELIMITED,
C KRISHNIAH CHETTY AND SONS PRIVATE LIMITED,U27205KA1979PTC003692,C KRISHNIAH CHETTY AND SONS PRIVATELIMITED,
C M JAIN IMPEX AND INVESTMENTS PRIVATE LIMITED,U51900MH1990PTC056916,C M JAIN IMPEX AND INVESTMENTS PRIVATELIMITED,
CMS FINVEST LIMITED,L67120WB1991PLC052782,C M S INFOTECH LIMITED;INTERNATIONAL POWER FINANCE LTD.,
CMV INFRAPROJECTS PRIVATE LIMITED,U45100MH2013PTC239596,C M V CONCRETE PRIVATE LIMITED,U74120MH2013PTC239596
C N SANGHAVI AND COMPANY (FORWARDS) PRIVATE LIMITED,U63090MH2003PTC140424,C N SANGHAVI AND COMPANY (FORWARDS)PRIVATE LIMITED;C N SANGHAVI AND COMPANY FORWARDS PRIVATE LIMITED,
C N TECH ENGINEERS PRIVATE LIMITED,U74200MH2010PTC204112,C N Tech Engineers Private Limited,
C P ARORA ENGINEERS CONTRACTORS PRIVATE LIMITED,U45201DL2003PTC119930,C P ARORA ENGINEERS CONTRACTORS PRIVATELIMITED,
C P MILK AND FOOD PRODUCTS PRIVATE LIMITED,U15201UP2005PTC030477,C P MILK AND FOOD PRODUCTS PRIVATELIMITED,
C R NARAYANA RAO(CONSULTANTS) PRIVATE LIMITED,U01212TN1975PTC006890,C R NARAYANA RAO(CONSULTANTS) PRIVATELIMITED;C R NARAYANA RAOCONSULTANTS PRIVATE LIMITED,
C R PRIME FOODS INTERNATIONAL PRIVATE LIMITED,U63022RJ1999PTC015544,C R PRIME FOODS INTERNATIONAL PRIVATELIMITED;NOKHA COLD STORE PRIVATE LIMITED,U52109RJ1999PTC015544
C R PRIME FOODS INTERNATIONAL PRIVATE LIMITED,U63022RJ1999PTC015544,C R PRIME FOODS INTERNATIONAL PRIVATELIMITED;NOKHA COLD STORE PRIVATE LIMITED,
C S ADVISORS & CONSULTANTS PRIVATE LIMITED,U74999MH2013PTC247160,C S ADVISORS  CONSULTANTS PRIVATE LIMITED;C S ADVISORS & CONSULTANTS PRIVATELIMITED,
C S DIREKT EVENTS AND EXHIBITIONS PRIVATE LIMITED,U92199DL2002PTC114760,C S DIREKT EVENTS AND EXHIBITIONSPRIVATE LIMITED,
CTA APPARELS PRIVATE LIMITED,U74899DL1993PTC052505,C T A APPARELS PRIVATE LIMITED,
CY MYUTEC ANAND PRIVATE LIMITED,U29130TN2008PTC066530,C Y MYUTEC AUTOMOTIVE INDIA PRIVATE LIMITED;C Y MYUTEC AUTOMOTIVE INDIA PRIVATELIMITED,
MASTERCARD MOBILE TRANSACTIONS SOLUTIONS PRIVATE LIMITED,U72200PN2005PTC165613,C- SAM SOLUTIONS PRIVATE LIMITED(TR.FROM;MASTERCARD MOBILE TRANSACTIONS SOLUTIONS PRIVATE L IMITED,U72200GJ2005PTC046802
CENTUM ELECTRONICS LIMITED,L85110KA1993PLC013869,C-MAC CENTUM ELECTRONICS LIMITED;SOLECTRON CENTUM ELECTRONICS LIMITED,
C-SQUARE INFO-SOLUTIONS LIMITED,U72900KA2002PLC030784,C-SQUARE INFO-SOLUTIONS PRIVATE LIMITED,U72900KA2002PTC030784
C-TEL INFOSYSTEMS PRIVATE LIMITED,U64202DL2004PTC124649,C-TEL INFOTEL PRIVATE LIMITED,
C. MACKERTICH PRIVATE LIMITED,U74999WB1994PTC065807,C. MACKERTICH LTD;C. MACKERTICH Private Limited,U74999WB1994PLC065807
C. MOHAN FABRICS PRIVATE LIMITED,U65921PB1993PTC039586,C. MOHAN FABRICS LIMITED;C. Mohan Fabrics Private Limited;GOLD STAR LEASING COMPANY INDIA LTD,U65921CH1993PLC013167;U65921PB1993PLC039586
C. T. PUNDOLE & SONS PRIVATE LIMITED,U74999PN2008PTC131641,C. T. Pundole  Sons Private Limited,
BIKANER MOTORS PRIVATE LIMITED,U63040RJ1998PTC014974,C.D.MOTORS PRIVATE LIMITED,
C D COMMODITIES BROKING LIMITED,U67120GJ2003PLC042067,C.D.STOCK PRIVATE LIMITED,
C.DINESH & COMPANY PRIVATE LIMITED.,U36912MH2007PTC169653,C.DINESH  COMPANY PRIVATE LIMITED.,
C.E. INFO SYSTEMS LIMITED,L74899DL1995PLC065551,C.E. INFO SYSTEMS PRIVATE LIMITED,U74899DL1995PLC065551;U74899DL1995PTC065551
C.G. PROJECTS PRIVATE LIMITED,U70102MH2009PTC190856,C.G. Projects Private Limited,
C.H. ROBINSON WORLDWIDE FREIGHT INDIA PRIVATE LIMITED,U60231TN2006PTC061597,C.H. ROBINSON WORLDWIDE FREIGHT INDIA PRIVATE LIMI TED;C.H. Robinson Worldwide Freight India Private Limited;C.H. ROBINSON WORLDWIDE FREIGHT INDIAPRIVATE LIMITED,
RANEKA INDUSTRIES LIMITED,U27320MP1983PLC007121,C.M.METALS LIMITED,
CMR CORPORATION PRIVATE LIMITED,U01119AP1992PTC014602,C.M.R. AGRO AND BROADCASTING SERVICES PRIVATE LIMI TED;MOHAN AGRO FARMS PRIVATE LIMITED,
C P AQUACULTURE (INDIA) PRIVATE LIMITED,U05001TN1994PTC029251,C.P.AQUACULTURE (INDIA) PRIVATE LIMITED;C.P.AQUACULTURE INDIA PRIVATE LIMITED,
CPC DIAGNOSTICS PRIVATE LIMITED,U52599TN1991PTC021095,C.P.C PHARMACEUTTICALS P.LTD,
C.R. KOTHARI AND SONS STOCK BROKING PRIVATE LIMITED,U67120RJ2004PTC083122,C.R. KOTHARI AND SONS SHARE BROKING PRIVATE LIMITED;C.R. KOTHARI AND SONS STOCK BROKING PRIVATE LIMITE D;C.R. KOTHARI AND SONS STOCK BROKINGPRIVATE LIMITED,U67120UP2004PTC038336
C.S.K. REALTORS LIMITED,U70102TG2005PLC046872,C.S.K. REALTORS PVT LIMITED,U70102AP2005PLC046872
C.T.R. MANUFACTURING INDUSTRIES PRIVATE LIMITED,U29299MH1964PTC013087,C.T.R. MANUFACTURING INDUSTRIES LIMITED;C.T.R. MANUFACTURING INDUSTRIES PRIVATELIMITED,U29299MH1964PLC013087
CITYGOLD CREDIT CAPITAL LIMITED,L65921PB1993PLC013595,C0UNTRY CREDIT CAPITAL LIMITED,U65921PB1993PLC013595
CA (INDIA) TECHNOLOGIES PRIVATE LIMITED,U72900KA1998PTC137825,CA (INDIA) TECHNOLOGIES PRIVATE LIMITED CN;CA (INDIA) TECHNOLOGIES PRIVATE LIMITEDCN;CA COMPUTER ASSOCIATES INDIA PRIVATE LIMITED;CA India Technologies Private Limited cn,U72900MH1998PTC113052
FLM TALENT MANAGEMENT AGENCY PRIVATE LIMITED,U74120MH2012PTC234137,CAA KWAN Talent Management Agency Private Limited;CAA KWAN TALENT MANAGEMENT AGENCYPRIVATE LIMITED;CAIC INDIA PRIVATE LIMITED;COLLECTIVE ARTIST NETWORK PRIVATE LIMITED;COLLECTIVE ARTIST NETWORK PRIVATELIMITED;KWAN TALENT MANAGEMENT AGENCY PRIVATE LIMITED;KWAN TALENT MANAGEMENT AGENCY PRIVATELIMITED,
CAASTLE TECHNOLOGY AND SERVICES INDIA PRIVATE LIMITED,U72200DL2012PTC235609,CAASTLE TECHNOLOGY AND SERVICES INDIAPRIVATE LIMITED;Gwynniebee India Private Limited,
TERRATECH CHEMICALS (INDIA) PRIVATE LIMITED,U25209GJ1992PTC017433,CABB CHEMICALS (INDIA) PRIVATE LIMITED;CABB CHEMICALS INDIA PRIVATE LIMITED;CABB KARNAVATI RASAYAN LIMITED;CABB KARNAVATI RASAYAN PRIVATE LIMITED;KARNAVATI RASAYAN LTD.;PREMIER POLYPACK LTD.;TERRATECH CHEMICALS (INDIA) PRIVATELIMITED,U25209GJ1992PLC017433
CABCON INDIA LIMITED,U31200WB1991PLC050809,CABCON INDIA PVT LTD,U31200WB1991PTC050809
CABLE AND WIRELESS GLOBAL (INDIA) PRIVATE LIMITED,U31300KA2001PTC052355,CABLE AND WIRELESS GLOBAL (INDIA)PRIVATE LIMITED;CABLE AND WIRELESS GLOBAL INDIA PRIVATE LIMITED,
CABS INDIA TOURS AND TRAVELS PRIVATE LIMITED,U63040KA2004PTC034927,CABS INDIA TOURS AND TRAVELS PRIVATELIMITED,
CACOBEAN CHOCOLATE FACTORY PRIVATE LIMITED,U15549KL2018PTC052172,CACOBEAN CHOCOLATE FACTORY PRIVATELIMITED,
MONDELEZ INDIA FOODS PRIVATE LIMITED,U15430MH1948PTC006457,CADBURY INDIA LIMITED;CADBURY-FRY (INDIA) PRIVATE LIMITED;MONDELEZ INDIA FOODS LIMITED;Mondelez India Foods Private Limited,U15430MH1948PLC006457
CADD CENTRE TRAINING SERVICES PRIVATE LIMITED,U72300TN1998PTC041242,CADD CENTRE TRAINING SERVICES PRIVATELIMITED,
CADDIE HOTELS PRIVATE LIMITED,U55101DL2008PTC175885,Caddie Hotels Private Limited;DELHI AEROCITY HOTELS PRIVATE LIMITED,U55101HR2008PTC138814
CADDIE HOTELS PRIVATE LIMITED,U55101DL2008PTC175885,Caddie Hotels Private Limited;DELHI AEROCITY HOTELS PRIVATE LIMITED,
CADENCE AMS DESIGN INDIA PRIVATE LIMITED,U30006KA2005PTC036014,Cadence AMS Design India Private Limited;COSMIC CIRCUITS PRIVATE LIMITED,
GMR HYDERABAD AIR CARGO AND LOGISTICS PRIVATE LIMITED,U62100TG2006PTC049243,CADENCE CARGO PVT LTD;GMR HYDERABAD AIR CARGO AND LOGISTICSPRIVATE LIMITED;Hyderabad Menzies Air Cargo Private Limited;HYDERABAD MENZIES AIR CARGO PRIVATELIMITED,U62100AP2006PTC049243
CADENCE DESIGN SYSTEMS (INDIA) PRIVATE LIMITED,U30007KA1986PTC080807,CADENCE DESIGN SYSTEMS (INDIA) PRIVATELIMITED;CADENCE DESIGN SYSTEMS INDIA PRIVATE LIMITED,U30007DL1986PTC033225
CADENCE ELECTRICAL ENGINEERS PRIVATE LIMITED,U74899DL2003PTC121220,CADENCE ELECTRICAL ENGINEERS PRIVATELIMITED,
CADENSWORTH (INDIA) LIMITED,U52392TN2002PLC050014,CADENSWORTH (INDIA) PRIVATE LIMITED;CADENSWORTH INDIA LIMITED,
CADFEM INDIA PRIVATE LIMITED,U74999TG2007FTC053921,CADFEM ENGINEERING SERVICES INDIA PRIVATE LIMITED;CADFEM ENGINEERING SERVICES INDIAPRIVATE LIMITED,U74999AP2007FTC053921
ZYDUS LIFESCIENCES LIMITED,L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,
CADMACH MACHINERY COMPANY PRIVATE LIMITED,U68186GJ1973PTC002373,CADMACH MACHINERY COMPANY PRIVATELIMITED;MARUTI SHIPPING LTD,
CADOPT TECHNOLOGIES PRIVATE LIMITED,U74900KA2014PTC077156,CADOpt Technologies Private Limited,
KINESSO INDIA PRIVATE LIMITED,U74900MH2013FTC248762,CADREON INDIA PRIVATE LIMITED,
CADSYS ( INDIA ) LIMITED,L72200TG1992PLC014558,CADSYS  INDIA  LIMITED,U72200AP1992PLC014558
L3HARRIS MARITIME & AERO PRIVATE LIMITED,U31909KA1999PTC025302,CAE ELECTRONICS PRIVATE LIMITED;L-3 COMMUNICATIONS INDIA PRIVATE LIMITED,
CAE FLIGHT TRAINING (INDIA) PRIVATE LIMITED,U99000KA2007FTC042768,CAE FLIGHT TRAINING (INDIA) PRIVATELIMITED;CAE FLIGHT TRAINING INDIA PRIVATE LIMITED,
CAE SIMULATION TECHNOLOGIES PRIVATE LIMITED,U72300KA2004PTC035163,CAE SIMULATION TECHNOLOGIES PRIVATELIMITED;CAE VISUAL SOFTWARE PRIVATE LIMITED,
CAE SIMULATION TRAINING PRIVATE LIMITED,U74900DL2012PTC231352,CAE Simulation Training Private Limited,
TRANSFIX (INDIA) PRIVATE LIMITED,U32109PN2007PTC130901,CAHORS ELECTRICALS (INDIA) PRIVATE LIMITED;TRANSFIX INDIA PRIVATE LIMITED,
CAIRN INDIA LIMITED,L11101MH2006PLC163934,Cairn India Limited,
DLF NEW GURGAON HOMES DEVELOPERS PRIVATE LIMITED,U45201DL2006PTC147385,CAITLIN BUILDERS & DEVELOPERS PRIVATE LIMITED,
CAKESOFT TECHNOLOGIES PRIVATE LIMITED,U74900PN2014PTC153043,CakeSoft Technologies Private Limited,
CALCO POLY TECHNIK PRIVATE LIMITED,U25190DL2010PTC199040,CALCO TECHNOLOGIES PRIVATE LIMITED,
DALMIA CEMENT (NORTH EAST) LIMITED,U26942AS2004PLC007538,CALCOM CEMENT INDIA LIMITED,
CFM INFRATEX LIMITED,U15311WB1974PLC029690,CALCUTTA FLOUR MILLS LTD;CFM DEVELOPERS LIMITED,
CALCUTTA FORGINGS & STEEL INDUSTRIES LIMITED,U27106WB1998PLC087668,CALCUTTA FORGINGS  STEEL INDUSTRIES LIMITED;CALCUTTA FORGINGS & STEEL INDUSTRIESLIMITED,
JEWEL INDIA PRIVATE LIMITED,U51109WB1994PTC066606,CALCUTTA GOLDCRAFTS PVT LTD,
CALCUTTA INFRASTRUCTURE INFOTECH PROJECTS PRIVATE LIMITED,U45201WB2000PTC092721,CALCUTTA INFRASTRUCTURE INFOTECH PROJECTS LIMITED;CALCUTTA INFRASTRUCTURE INFOTECHPROJECTS LIMITED;CALCUTTA INFRASTRUCTURE INFOTECHPROJECTS PRIVATE LIMITED,U45201WB2000PLC092721
CALCUTTA PAPER INDUSTRIES PRIVATE LIMITED,U21014WB2020PTC236868,CALCUTTA PAPER INDUSTRIES PRIVATELIMITED,
CALCUTTA TUBE (INDIA) PRIVATE LIMITED,U28110KA1995PTC019065,CALCUTTA TUBE (INDIA )PRIVATE LIMITED;CALCUTTA TUBE INDIA PRIVATE LIMITED,
